targetDt	movieCd	audiCnt	audiAcc	salesAmt	salesAcc	movieNm
20171206	20165748	73683	3235358	531293200	25140991795	꾼
20171206	20173581	58212	743167	421727800	5622359225	기억의 밤
20171206	20178581	36104	600546	259770900	4577618128	오리엔트 특급 살인
20171206	20161762	22838	351178	162775900	2626263772	반드시 잡는다
20171206	20040695	8226	956904	62265700	6282535300	이프 온리
20171206	20179942	5948	295432	44592400	2340689200	러빙 빈센트
20171206	20168221	4703	1769625	33798000	14499456395	저스티스 리그
20171206	20175121	4314	4836299	30977200	39085158195	토르: 라그나로크
20171206	20174622	2183	1378850	16107900	10977058502	해피 데스데이
20171206	20175903	1599	1750	12993500	14201500	은혼
20171205	20165748	80944	3161677	585436700	24609716595	꾼
20171205	20173581	57435	684955	417029800	5200631425	기억의 밤
20171205	20178581	37234	564442	266443000	4317847228	오리엔트 특급 살인
20171205	20161762	26507	328340	191510900	2463487872	반드시 잡는다
20171205	20040695	8046	948678	60245300	6220269600	이프 온리
20171205	20179942	7663	289484	54815400	2296096800	러빙 빈센트
20171205	20168221	5298	1764922	37209000	14465658395	저스티스 리그
20171205	20175121	4238	4831985	30630500	39054180995	토르: 라그나로크
20171205	20174622	2277	1376667	16239800	10960950602	해피 데스데이
20171205	20175441	1735	167939	10825000	1204001364	채비
20171204	20165748	84731	3080733	617987500	24024279895	꾼
20171204	20173581	57770	627520	425316800	4783601625	기억의 밤
20171204	20178581	38169	527208	278407300	4051404228	오리엔트 특급 살인
20171204	20161762	25360	301833	184480400	2271976972	반드시 잡는다
20171204	20040695	7852	940632	58965700	6160024300	이프 온리
20171204	20179942	6187	281821	46212400	2241281400	러빙 빈센트
20171204	20168221	5030	1759624	37139100	14428449395	저스티스 리그
20171204	20175121	4556	4827747	33801500	39023550495	토르: 라그나로크
20171204	20174622	2257	1374390	16727200	10944710802	해피 데스데이
20171204	20170272	1079	2108	5865000	13794000	산상수훈
20171203	20165748	252473	2996002	2117649400	23406292395	꾼
20171203	20173581	148507	569750	1231048800	4358284825	기억의 밤
20171203	20178581	119988	489039	999706500	3772996928	오리엔트 특급 살인
20171203	20161762	67170	276473	556699700	2087496572	반드시 잡는다
20171203	20168221	20412	1754594	165016700	14391310295	저스티스 리그
20171203	20040695	18029	932780	156813800	6101058600	이프 온리
20171203	20179942	13497	275634	113463400	2195069000	러빙 빈센트
20171203	20175121	12638	4823191	104021900	38989748995	토르: 라그나로크
20171203	20174622	6370	1372133	52735100	10927983602	해피 데스데이
20171203	20174073	6085	13432	47454100	102659200	빅 배드 폭스
20171202	20165748	277291	2743529	2317118874	21288642995	꾼
20171202	20173581	157883	421243	1301664153	3127236025	기억의 밤
20171202	20178581	141708	369051	1186760973	2773290428	오리엔트 특급 살인
20171202	20161762	66161	209303	544461227	1530796872	반드시 잡는다
20171202	20168221	23699	1734182	193044800	14226293595	저스티스 리그
20171202	20040695	19830	914751	171837600	5944244800	이프 온리
20171202	20179942	14284	262137	120926400	2081605600	러빙 빈센트
20171202	20175121	13158	4810553	108838400	38885727095	토르: 라그나로크
20171202	20174622	8718	1365763	71830774	10875248502	해피 데스데이
20171202	20175223	6064	44500	45606200	325683800	래빗 스쿨
20171201	20165748	141893	2466238	1152521773	18971524121	꾼
20171201	20173581	89651	263360	719118972	1825571872	기억의 밤
